params,mean_accuracy,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.587,0.474,0.684,0.556,0.611,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.587,0.579,0.632,0.5,0.611,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.632,0.684,0.5,0.611,0.667
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.609,0.579,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.598,0.579,0.632,0.5,0.667,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.608,0.632,0.684,0.5,0.611,0.611
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.63,0.632,0.684,0.556,0.611,0.667
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.629,0.684,0.684,0.5,0.611,0.667
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.609,0.579,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.598,0.526,0.632,0.556,0.667,0.611
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.597,0.579,0.684,0.444,0.611,0.667
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.586,0.632,0.632,0.444,0.611,0.611
